LoanID,PaymentMonth,ScheduledAmount,AmountPaid,PaymentStatus
LN-100010,6,1145.73,1125.3,On-Time
LN-100010,7,1145.73,1124.95,On-Time
LN-100010,8,1145.73,1133.74,On-Time
LN-100010,9,1145.73,1133.64,On-Time
LN-100010,10,1145.73,1144.64,On-Time
LN-100010,11,1145.73,1136.25,On-Time
LN-100010,12,1145.73,1141.2,On-Time
LN-100011,1,354.87,354.57,Late
LN-100011,2,354.87,354.4,On-Time
LN-100011,3,354.87,351.44,On-Time
LN-100011,4,354.87,354.57,On-Time
LN-100011,5,354.87,352.17,Late
LN-100011,6,354.87,348.87,On-Time
LN-100011,7,354.87,354.74,On-Time
LN-100011,8,354.87,348.67,On-Time
LN-100011,9,354.87,354.49,On-Time
LN-100011,10,354.87,348.75,Late
LN-100011,11,354.87,350.86,On-Time
LN-100011,12,354.87,351.7,On-Time
LN-100012,1,401.14,396.29,On-Time
LN-100012,2,401.14,394.67,Late
LN-100012,3,401.14,395.61,Late
LN-100012,4,401.14,393.69,On-Time
LN-100012,5,401.14,393.82,On-Time
LN-100012,6,401.14,398.7,on-time
LN-100012,7,401.14,397.73,Late
LN-100012,8,401.14,399.9,On-Time
LN-100012,9,401.14,397.01,On-Time
LN-100012,10,401.14,394.03,On-Time
LN-100012,11,401.14,395.06,On-Time
LN-100012,12,401.14,397.47,On-Time
LN-100013,1,55.29,54.61,On-Time
LN-100013,2,55.29,55.09,On-Time
LN-100013,3,55.29,55.02,On-Time
LN-100013,4,55.29,54.42,On-Time
LN-100013,5,55.29,54.74,On-Time
LN-100013,6,55.29,54.54,On-Time
LN-100013,7,55.29,55.21,On-Time
LN-100013,8,55.29,54.44,On-Time
LN-100013,9,55.29,54.28,Late
LN-100013,10,55.29,54.44,On-Time
LN-100013,11,55.29,54.32,On-Time
LN-100013,12,55.29,54.48,Late
LN-100014,1,276.76,276.76,On-Time
LN-100014,2,276.76,0.0,Missed
LN-100014,3,276.76,271.59,On-Time
LN-100014,4,276.76,274.83,ON-TIME
LN-100014,5,276.76,271.37,On-Time
LN-100014,6,276.76,274.88,On-Time
LN-100014,7,276.76,0.0,Missed
LN-100014,8,276.76,,Missed
LN-100014,9,276.76,0.0,Missed
LN-100014,10,276.76,275.47,On-Time
LN-100014,11,276.76,0.0,Missed
LN-100014,12,276.76,,Missed
LN-100015,1,890.18,874.95,On-Time
LN-100015,2,890.18,877.3,On-Time
LN-100015,3,890.18,0.0,Missed
LN-100015,4,890.18,879.91,Late
LN-100015,5,890.18,879.5,Late
LN-100015,6,890.18,878.43,On-Time
LN-100015,7,890.18,874.15,On-Time
LN-100015,8,890.18,885.48,On-Time
LN-100015,9,890.18,878.17,On-Time
LN-100015,10,890.18,880.16,On-Time
LN-100015,11,890.18,875.38,On-Time
LN-100015,12,890.18,887.93,On-Time
LN-100016,1,219.6,217.31,On-Time
LN-100016,2,219.6,217.78,On-Time
LN-100016,3,219.6,217.86,On-Time
LN-100016,4,219.6,218.93,ON-TIME
LN-100016,5,219.6,215.39,On-Time
LN-100016,6,219.6,217.25,On-Time
LN-100016,7,219.6,217.03,On-Time
LN-100016,8,219.6,216.58,On-Time
LN-100016,9,219.6,217.95,On-Time
LN-100016,10,219.6,216.6,On-Time
LN-100016,11,219.6,215.28,On-Time
LN-100016,12,219.6,216.66,On-Time
LN-100017,1,704.11,697.2,On-Time
LN-100017,2,704.11,700.97,On-Time
LN-100017,3,704.11,702.29,On-Time
LN-100017,4,704.11,692.0,On-Time
LN-100017,5,704.11,697.31,On-Time
LN-100017,6,704.11,690.87,Late
LN-100017,7,704.11,693.13,On-Time
LN-100017,8,704.11,699.35,On-Time
LN-100017,9,704.11,700.49,Late
LN-100017,10,704.11,697.23,On-Time
LN-100017,11,704.11,699.46,On-Time
LN-100017,12,704.11,698.15,On-Time
LN-100018,1,427.0,0.0,Missed
LN-100018,2,427.0,422.71,On-Time
LN-100018,3,427.0,419.91,On-Time
LN-100018,4,427.0,425.53,Late
LN-100018,5,427.0,422.78,On-Time
LN-100018,6,427.0,425.53,On-Time
LN-100018,7,427.0,421.75,On-Time
LN-100018,8,427.0,426.62,On-Time
LN-100018,9,427.0,419.46,On-Time
LN-100018,10,427.0,424.46,On-Time
LN-100018,11,427.0,425.0,On-Time
LN-100018,12,427.0,425.5,On-Time
LN-100019,1,672.57,667.22,On-Time
LN-100019,2,672.57,659.9,On-Time
LN-100019,3,672.57,670.59,On-Time
LN-100019,4,672.57,664.57,On-Time
LN-100019,5,672.57,659.33,On-Time
LN-100019,6,672.57,660.24,On-Time
LN-100019,7,672.57,671.74,On-Time
LN-100019,8,672.57,659.41,ON-TIME
LN-100019,9,672.57,668.57,On-Time
LN-100019,10,672.57,668.54,On-Time
LN-100019,11,672.57,666.86,On-Time
LN-100019,12,672.57,664.78,On-Time
LN-100020,1,904.59,899.84,Late
LN-100020,2,904.59,889.95,On-Time
LN-100020,3,904.59,897.06,On-Time
LN-100020,4,904.59,897.23,Late
LN-100020,5,904.59,904.04,On-Time
LN-100020,6,904.59,893.9,On-Time
LN-100020,7,904.59,891.96,On-Time
LN-100020,8,904.59,903.88,On-Time
LN-100020,9,904.59,891.05,On-Time
LN-100020,10,904.59,892.73,On-Time
LN-100020,11,904.59,892.94,On-Time
LN-100020,12,904.59,893.7,On-Time
LN-100021,1,953.68,950.83,On-Time
LN-100021,2,953.68,942.66,On-Time
LN-100021,3,953.68,936.59,On-Time
LN-100021,4,953.68,940.31,On-Time
LN-100021,5,953.68,951.35,On-Time
LN-100021,6,953.68,942.71,On-Time
LN-100021,7,953.68,944.93,On-Time
LN-100021,8,953.68,951.26,On-Time
LN-100021,9,953.68,945.16,On-Time
LN-100021,10,953.68,950.23,On-Time
LN-100021,11,953.68,943.83,On-Time
LN-100021,12,953.68,936.12,On-Time
LN-100022,1,355.34,354.26,On-Time
LN-100022,2,355.34,353.8,ON-TIME
LN-100022,3,355.34,354.03,On-Time
LN-100022,4,355.34,349.54,On-Time
LN-100022,5,355.34,350.14,On-Time
LN-100022,6,355.34,351.19,On-Time
LN-100022,7,355.34,350.74,On-Time
LN-100022,8,355.34,354.44,On-Time
LN-100022,9,355.34,350.94,On-Time
LN-100022,10,355.34,348.78,On-Time
LN-100022,11,355.34,354.95,On-Time
LN-100022,12,355.34,349.8,On-Time
LN-100023,1,118.25,118.03,On-Time
LN-100023,2,118.25,116.98,On-Time
LN-100023,3,118.25,117.01,On-Time
LN-100023,4,118.25,118.08,On-Time
LN-100023,5,118.25,117.93,On-Time
LN-100023,6,118.25,116.67,Late
LN-100023,7,118.25,116.89,On-Time
LN-100023,8,118.25,116.5,On-Time
LN-100023,9,118.25,116.45,On-Time
LN-100023,10,118.25,116.11,On-Time
LN-100023,11,118.25,116.81,On-Time
LN-100023,12,118.25,118.04,On-Time
LN-100024,1,418.38,413.69,On-Time
LN-100024,2,418.38,0.0,Missed
LN-100024,3,418.38,412.4,On-Time
LN-100024,4,418.38,414.59,On-Time
LN-100024,5,418.38,414.49,ON-TIME
LN-100024,6,418.38,417.68,On-Time
LN-100024,7,418.38,,Missed
LN-100024,8,418.38,0.0,Missed
LN-100024,9,418.38,417.52,On-Time
LN-100024,10,418.38,410.14,Late
LN-100024,11,418.38,416.81,On-Time
LN-100024,12,418.38,,Missed
LN-100025,1,157.68,156.64,Late
LN-100025,2,157.68,154.69,On-Time
LN-100025,3,157.68,,Missed
LN-100025,4,157.68,156.32,On-Time
LN-100025,5,157.68,157.56,on-time
LN-100025,6,157.68,156.46,On-Time
LN-100025,7,157.68,154.65,On-Time
LN-100025,8,157.68,157.33,On-Time
LN-100025,9,157.68,156.97,On-Time
LN-100025,10,157.68,155.51,On-Time
LN-100025,11,157.68,156.5,On-Time
LN-100025,12,157.68,155.87,On-Time
LN-100026,1,154.61,152.55,On-Time
LN-100026,2,154.61,152.96,On-Time
LN-100026,3,154.61,152.94,Late
LN-100026,4,154.61,152.34,Late
LN-100026,5,154.61,153.1,On-Time
LN-100026,6,154.61,153.28,On-Time
LN-100026,7,154.61,151.81,On-Time
LN-100026,8,154.61,154.27,On-Time
LN-100026,9,154.61,152.02,On-Time
LN-100026,10,154.61,154.6,On-Time
LN-100026,11,154.61,154.32,Late
LN-100026,12,154.61,154.07,On-Time
LN-100027,1,306.64,300.53,On-Time
LN-100027,2,306.64,0.0,Missed
LN-100027,3,306.64,0.0,Missed
LN-100027,4,306.64,,Missed
LN-100027,5,306.64,,Missed
LN-100027,6,306.64,0.0,Missed
LN-100027,7,306.64,302.71,On-Time
LN-100027,8,306.64,305.28,On-Time
LN-100027,9,306.64,301.69,On-Time
LN-100027,10,306.64,304.18,On-Time
LN-100027,11,306.64,,Missed
LN-100027,12,306.64,303.89,On-Time
LN-100028,1,436.55,429.18,On-Time
LN-100028,2,436.55,435.06,On-Time
LN-100028,3,436.55,433.87,On-Time
LN-100028,4,436.55,433.06,On-Time
LN-100028,5,436.55,428.33,On-Time
LN-100028,6,436.55,432.58,On-Time
LN-100028,7,436.55,429.75,On-Time
LN-100028,8,436.55,434.9,On-Time
LN-100028,9,436.55,429.48,On-Time
LN-100028,10,436.55,432.34,On-Time
LN-100028,11,436.55,427.96,On-Time
LN-100028,12,436.55,433.38,On-Time
LN-100029,1,784.94,770.92,On-Time
LN-100029,2,784.94,777.44,On-Time
LN-100029,3,784.94,776.39,On-Time
LN-100029,4,784.94,769.41,On-Time
LN-100029,5,784.94,784.76,On-Time
LN-100029,6,784.94,772.89,On-Time
LN-100029,7,784.94,775.39,On-Time
LN-100029,8,784.94,773.88,On-Time
LN-100029,9,784.94,784.27,On-Time
LN-100029,10,784.94,784.48,On-Time
LN-100029,11,784.94,0.0,Missed
LN-100029,12,784.94,772.17,On-Time
LN-100030,1,812.84,809.69,On-Time
LN-100030,2,812.84,803.38,On-Time
LN-100030,3,812.84,805.41,On-Time
LN-100030,4,812.84,805.44,On-Time
LN-100030,5,812.84,798.58,On-Time
LN-100030,6,812.84,807.73,On-Time
LN-100030,7,812.84,802.41,On-Time
LN-100030,8,812.84,799.65,On-Time
LN-100030,9,812.84,801.68,On-Time
LN-100030,10,812.84,807.92,Late
LN-100030,11,812.84,796.63,On-Time
LN-100030,12,812.84,804.6,On-Time
LN-100031,1,116.87,116.05,On-Time
LN-100031,2,116.87,114.73,On-Time
LN-100031,3,116.87,114.73,On-Time
LN-100031,4,116.87,115.54,Late
LN-100031,5,116.87,116.02,On-Time
LN-100031,6,116.87,115.09,On-Time
LN-100031,7,116.87,115.85,on-time
LN-100031,8,116.87,115.76,Late
LN-100031,9,116.87,115.4,On-Time
LN-100031,10,116.87,116.08,On-Time
LN-100031,11,116.87,115.56,On-Time
LN-100031,12,116.87,114.95,On-Time
LN-100032,1,888.25,883.03,On-Time
LN-100032,2,888.25,885.19,On-Time
LN-100032,3,888.25,882.2,On-Time
LN-100032,4,888.25,877.97,On-Time
LN-100032,5,888.25,886.19,Late
LN-100032,6,888.25,883.89,On-Time
LN-100032,7,888.25,872.59,On-Time
LN-100032,8,888.25,873.25,On-Time
LN-100032,9,888.25,887.38,On-Time
LN-100032,10,888.25,882.38,On-Time
LN-100032,11,888.25,880.46,On-Time
LN-100032,12,888.25,870.7,On-Time
LN-100033,1,644.13,632.75,On-Time
LN-100033,2,644.13,642.91,On-Time
LN-100033,3,644.13,643.99,On-Time
LN-100033,4,644.13,637.01,On-Time
LN-100033,5,644.13,642.66,On-Time
LN-100033,6,644.13,641.85,On-Time
LN-100033,7,644.13,638.22,On-Time
LN-100033,8,644.13,640.14,On-Time
LN-100033,9,644.13,637.57,On-Time
LN-100033,10,644.13,643.65,On-Time
LN-100033,11,644.13,642.72,On-Time
LN-100033,12,644.13,638.26,On-Time
LN-100034,1,339.48,335.82,On-Time
LN-100034,2,339.48,338.44,On-Time
LN-100034,3,339.48,334.13,On-Time
LN-100034,4,339.48,337.58,On-Time
LN-100034,5,339.48,339.35,On-Time
LN-100034,6,339.48,334.94,On-Time
LN-100034,7,339.48,338.22,On-Time
LN-100034,8,339.48,333.7,On-Time
LN-100034,9,339.48,336.31,On-Time
LN-100034,10,339.48,334.82,ON-TIME
LN-100034,11,339.48,337.67,Late
LN-100034,12,339.48,337.15,On-Time
LN-100035,1,414.54,412.9,On-Time
LN-100035,2,414.54,410.96,ON-TIME
LN-100035,3,414.54,411.61,On-Time
LN-100035,4,414.54,413.59,On-Time
LN-100035,5,414.54,410.52,On-Time
LN-100035,6,414.54,408.0,On-Time
LN-100035,7,414.54,411.26,On-Time
LN-100035,8,414.54,414.32,On-Time
LN-100035,9,414.54,412.11,On-Time
LN-100035,10,414.54,410.0,On-Time
LN-100035,11,414.54,408.53,On-Time
LN-100035,12,414.54,411.13,On-Time
LN-100036,1,119.32,116.97,On-Time
LN-100036,2,119.32,117.98,On-Time
LN-100036,3,119.32,117.31,On-Time
LN-100036,4,119.32,118.26,On-Time
LN-100036,5,119.32,118.71,On-Time
LN-100036,6,119.32,118.78,On-Time
LN-100036,7,119.32,117.66,On-Time
LN-100036,8,119.32,117.27,On-Time
LN-100036,9,119.32,117.89,On-Time
LN-100036,10,119.32,117.27,On-Time
LN-100036,11,119.32,117.97,On-Time
LN-100036,12,119.32,118.24,On-Time
LN-100037,1,402.06,396.05,On-Time
LN-100037,2,402.06,401.07,On-Time
LN-100037,3,402.06,399.42,On-Time
LN-100037,4,402.06,399.5,On-Time
LN-100037,5,402.06,394.98,On-Time
LN-100037,6,402.06,398.28,Late
LN-100037,7,402.06,0.0,Missed
LN-100037,8,402.06,394.79,On-Time
LN-100037,9,402.06,401.47,On-Time
LN-100037,10,402.06,399.86,On-Time
LN-100037,11,402.06,398.02,On-Time
LN-100037,12,402.06,401.75,On-Time
LN-100038,1,802.93,799.18,On-Time
LN-100038,2,802.93,794.88,On-Time
LN-100038,3,802.93,,Missed
LN-100038,4,802.93,791.15,On-Time
LN-100038,5,802.93,790.97,On-Time
LN-100038,6,802.93,787.4,On-Time
LN-100038,7,802.93,800.4,On-Time
LN-100038,8,802.93,797.21,on-time
LN-100038,9,802.93,798.41,On-Time
LN-100038,10,802.93,800.41,On-Time
LN-100038,11,802.93,800.49,ON-TIME
LN-100038,12,802.93,798.55,On-Time
LN-100039,1,293.33,291.33,On-Time
LN-100039,2,293.33,290.66,On-Time
LN-100039,3,293.33,288.32,On-Time
LN-100039,4,293.33,291.84,On-Time
LN-100039,5,293.33,289.93,On-Time
LN-100039,6,293.33,287.6,On-Time
LN-100039,7,293.33,287.76,On-Time
LN-100039,8,293.33,292.23,On-Time
LN-100039,9,293.33,288.77,On-Time
LN-100039,10,293.33,288.3,On-Time
LN-100039,11,293.33,0.0,missed
LN-100039,12,293.33,287.65,On-Time
LN-100040,1,464.74,462.21,On-Time
LN-100040,2,464.74,461.11,On-Time
LN-100040,3,464.74,459.73,On-Time
LN-100040,4,464.74,464.36,On-Time
LN-100040,5,464.74,463.7,On-Time
LN-100040,6,464.74,463.49,On-Time
LN-100040,7,464.74,459.91,On-Time
LN-100040,8,464.74,459.36,Late
LN-100040,9,464.74,460.6,Late
LN-100040,10,464.74,460.95,On-Time
LN-100040,11,464.74,458.87,On-Time
LN-100040,12,464.74,458.53,Late
LN-100041,1,1162.95,1147.62,On-Time
LN-100041,2,1162.95,1139.88,Late
LN-100041,3,1162.95,1147.77,on-time
LN-100041,4,1162.95,1162.58,On-Time
LN-100041,5,1162.95,1144.05,On-Time
LN-100041,6,1162.95,1150.57,On-Time
LN-100041,7,1162.95,1157.22,On-Time
LN-100041,8,1162.95,1154.02,On-Time
LN-100041,9,1162.95,1154.09,on-time
LN-100041,10,1162.95,1148.12,On-Time
LN-100041,11,1162.95,1158.68,On-Time
LN-100041,12,1162.95,1150.4,On-Time
LN-100042,1,291.34,290.59,On-Time
LN-100042,2,291.34,288.92,On-Time
LN-100042,3,291.34,289.95,On-Time
LN-100042,4,291.34,288.22,On-Time
LN-100042,5,291.34,286.79,On-Time
LN-100042,6,291.34,289.76,On-Time
LN-100042,7,291.34,289.11,On-Time
LN-100042,8,291.34,290.38,On-Time
LN-100042,9,291.34,291.1,On-Time
LN-100042,10,291.34,286.3,On-Time
LN-100042,11,291.34,289.28,On-Time
LN-100042,12,291.34,288.06,On-Time
LN-100043,1,115.14,115.06,On-Time
LN-100043,2,115.14,114.54,On-Time
LN-100043,3,115.14,114.24,On-Time
LN-100043,4,115.14,114.01,On-Time
LN-100043,5,115.14,114.47,On-Time
LN-100043,6,115.14,113.15,On-Time
LN-100043,7,115.14,115.12,On-Time
LN-100043,8,115.14,113.42,On-Time
LN-100043,9,115.14,114.93,On-Time
LN-100043,10,115.14,114.95,On-Time
LN-100043,11,115.14,114.0,On-Time
LN-100043,12,115.14,113.88,On-Time
LN-100044,1,268.95,268.45,On-Time
LN-100044,2,268.95,265.68,On-Time
LN-100044,3,268.95,264.59,On-Time
LN-100044,4,268.95,266.0,On-Time
LN-100044,5,268.95,265.19,On-Time
LN-100044,6,268.95,263.61,ON-TIME
LN-100044,7,268.95,264.92,On-Time
LN-100044,8,268.95,265.13,On-Time
LN-100044,9,268.95,268.71,Late
LN-100044,10,268.95,265.94,On-Time
LN-100044,11,268.95,263.84,On-Time
LN-100044,12,268.95,264.02,On-Time
LN-100045,1,396.23,389.12,On-Time
LN-100045,2,396.23,391.76,On-Time
LN-100045,3,396.23,391.66,On-Time
LN-100045,4,396.23,396.17,On-Time
LN-100045,5,396.23,394.78,On-Time
LN-100045,6,396.23,392.25,On-Time
LN-100045,7,396.23,395.85,On-Time
LN-100045,8,396.23,389.55,On-Time
LN-100045,9,396.23,388.63,On-Time
LN-100045,10,396.23,393.68,On-Time
LN-100045,11,396.23,395.59,Late
LN-100045,12,396.23,391.96,On-Time
LN-100046,1,429.8,427.05,On-Time
LN-100046,2,429.8,429.36,On-Time
LN-100046,3,429.8,425.72,on-time
LN-100046,4,429.8,429.62,On-Time
LN-100046,5,429.8,427.46,On-Time
LN-100046,6,429.8,421.98,On-Time
LN-100046,7,429.8,422.82,On-Time
LN-100046,8,429.8,422.98,Late
LN-100046,9,429.8,426.65,On-Time
LN-100046,10,429.8,429.43,On-Time
LN-100046,11,429.8,426.83,On-Time
LN-100046,12,429.8,427.06,Late
LN-100047,1,406.78,402.19,On-Time
LN-100047,2,406.78,404.27,On-Time
LN-100047,3,406.78,406.41,On-Time
LN-100047,4,406.78,403.4,On-Time
LN-100047,5,406.78,400.4,On-Time
LN-100047,6,406.78,403.17,On-Time
LN-100047,7,406.78,404.92,On-Time
LN-100047,8,406.78,402.14,On-Time
LN-100047,9,406.78,404.56,On-Time
LN-100047,10,406.78,402.8,On-Time
LN-100047,11,406.78,404.33,On-Time
LN-100047,12,406.78,400.48,On-Time
LN-100048,1,1786.9,1777.11,Late
LN-100048,2,1786.9,1779.04,On-Time
LN-100048,3,1786.9,1771.94,On-Time
LN-100048,4,1786.9,1767.73,On-Time
LN-100048,5,1786.9,1774.31,On-Time
LN-100048,6,1786.9,1781.17,On-Time
LN-100048,7,1786.9,1766.81,On-Time
LN-100048,8,1786.9,1772.18,On-Time
LN-100048,9,1786.9,,Missed
LN-100048,10,1786.9,1779.87,On-Time
LN-100048,11,1786.9,1755.65,On-Time
LN-100048,12,1786.9,1775.65,Late
LN-100049,1,545.58,535.3,On-Time
LN-100049,2,545.58,537.89,On-Time
LN-100049,3,545.58,536.4,On-Time
LN-100049,4,545.58,544.12,On-Time
LN-100049,5,545.58,545.13,On-Time
LN-100049,6,545.58,545.25,On-Time
LN-100049,7,545.58,539.97,On-Time
LN-100049,8,545.58,539.75,On-Time
LN-100049,9,545.58,534.8,On-Time
LN-100049,10,545.58,542.04,On-Time
LN-100049,11,545.58,543.53,On-Time
LN-100049,12,545.58,534.73,On-Time
LN-100050,1,2081.51,2070.33,On-Time
LN-100050,2,2081.51,2061.16,On-Time
LN-100050,3,2081.51,,Missed
LN-100050,4,2081.51,,Missed
LN-100050,5,2081.51,0.0,Missed
LN-100050,6,2081.51,2077.95,On-Time
LN-100050,7,2081.51,2069.28,On-Time
LN-100050,8,2081.51,2080.64,On-Time
LN-100050,9,2081.51,2058.48,On-Time
LN-100050,10,2081.51,2056.5,On-Time
LN-100050,11,2081.51,2049.45,On-Time
LN-100050,12,2081.51,2060.72,on-time
LN-100051,1,392.26,392.0,On-Time
LN-100051,2,392.26,387.2,On-Time
LN-100051,3,392.26,385.36,on-time
LN-100051,4,392.26,386.52,On-Time
LN-100051,5,392.26,385.45,On-Time
LN-100051,6,392.26,390.73,On-Time
LN-100051,7,392.26,390.87,On-Time
LN-100051,8,392.26,389.93,On-Time
LN-100051,9,392.26,390.49,LATE
LN-100051,10,392.26,390.21,On-Time
LN-100051,11,392.26,391.28,On-Time
LN-100051,12,392.26,384.95,ON-TIME
LN-100052,1,573.23,,Missed
LN-100052,2,573.23,562.13,On-Time
LN-100052,3,573.23,569.73,On-Time
LN-100052,4,573.23,573.19,On-Time
LN-100052,5,573.23,566.8,On-Time
LN-100052,6,573.23,562.44,On-Time
LN-100052,7,573.23,565.08,On-Time
LN-100052,8,573.23,572.0,On-Time
LN-100052,9,573.23,571.32,On-Time
LN-100052,10,573.23,568.0,On-Time
LN-100052,11,573.23,570.39,On-Time
LN-100052,12,573.23,566.98,On-Time
LN-100053,1,255.96,255.34,On-Time
LN-100053,2,255.96,251.84,On-Time
LN-100053,3,255.96,253.55,On-Time
LN-100053,4,255.96,255.63,On-Time
LN-100053,5,255.96,252.62,On-Time
LN-100053,6,255.96,253.55,On-Time
LN-100053,7,255.96,252.5,On-Time
LN-100053,8,255.96,251.88,On-Time
LN-100053,9,255.96,254.98,On-Time
LN-100053,10,255.96,255.73,On-Time
LN-100053,11,255.96,255.78,On-Time
LN-100053,12,255.96,252.4,On-Time
LN-100054,1,321.17,319.49,On-Time
LN-100054,2,321.17,319.2,On-Time
LN-100054,3,321.17,320.77,On-Time
LN-100054,4,321.17,318.75,On-Time
LN-100054,5,321.17,316.76,On-Time
LN-100054,6,321.17,320.72,On-Time
LN-100054,7,321.17,318.13,On-Time
LN-100054,8,321.17,316.94,On-Time
LN-100054,9,321.17,316.85,On-Time
LN-100054,10,321.17,316.81,On-Time
LN-100054,11,321.17,317.51,On-Time
LN-100054,12,321.17,317.1,On-Time
LN-100055,1,513.73,507.08,On-Time
LN-100055,2,513.73,506.06,On-Time
LN-100055,3,513.73,507.94,Late
LN-100055,4,513.73,503.54,On-Time
LN-100055,5,513.73,512.68,On-Time
